,SA3 Name
4999,Migratory - Offshore - Shipping (NSW)
5000,Special Purpose Codes SA3 (NSW)
5066,Migratory - Offshore - Shipping (Vic.)
5067,Special Purpose Codes SA3 (Vic.)
5148,Migratory - Offshore - Shipping (Qld)
5149,Special Purpose Codes SA3 (Qld)
5178,Migratory - Offshore - Shipping (SA)
5179,Special Purpose Codes SA3 (SA)
5213,Migratory - Offshore - Shipping (WA)
5214,Special Purpose Codes SA3 (WA)
5230,Migratory - Offshore - Shipping (Tas.)
5231,Special Purpose Codes SA3 (Tas.)
5241,Migratory - Offshore - Shipping (NT)
5242,Special Purpose Codes SA3 (NT)
5244,Cotter - Namadgi
5252,Migratory - Offshore - Shipping (ACT)
5253,Special Purpose Codes SA3 (ACT)
5255,Cocos (Keeling) Islands
5256,Jervis Bay
5257,Migratory - Offshore - Shipping (OT)
5258,Special Purpose Codes SA3 (OT)
5279,Illawarra Catchment Reserve
5284,Lord Howe Island
5335,Blue Mountains - South
5350,Migratory - Offshore - Shipping (NSW)
5351,Special Purpose Codes SA3 (NSW)
5417,Migratory - Offshore - Shipping (Vic.)
5418,Special Purpose Codes SA3 (Vic.)
5499,Migratory - Offshore - Shipping (Qld)
5500,Special Purpose Codes SA3 (Qld)
5529,Migratory - Offshore - Shipping (SA)
5530,Special Purpose Codes SA3 (SA)
5564,Migratory - Offshore - Shipping (WA)
5565,Special Purpose Codes SA3 (WA)
5581,Migratory - Offshore - Shipping (Tas.)
5582,Special Purpose Codes SA3 (Tas.)
5592,Migratory - Offshore - Shipping (NT)
5593,Special Purpose Codes SA3 (NT)
5595,Cotter - Namadgi
5603,Migratory - Offshore - Shipping (ACT)
5604,Special Purpose Codes SA3 (ACT)
5606,Cocos (Keeling) Islands
5607,Jervis Bay
5608,Migratory - Offshore - Shipping (OT)
5609,Special Purpose Codes SA3 (OT)
5630,Illawarra Catchment Reserve
5635,Lord Howe Island
5686,Blue Mountains - South
5701,Migratory - Offshore - Shipping (NSW)
5702,Special Purpose Codes SA3 (NSW)
5768,Migratory - Offshore - Shipping (Vic.)
5769,Special Purpose Codes SA3 (Vic.)
5850,Migratory - Offshore - Shipping (Qld)
5851,Special Purpose Codes SA3 (Qld)
5880,Migratory - Offshore - Shipping (SA)
5881,Special Purpose Codes SA3 (SA)
5915,Migratory - Offshore - Shipping (WA)
5916,Special Purpose Codes SA3 (WA)
5932,Migratory - Offshore - Shipping (Tas.)
5933,Special Purpose Codes SA3 (Tas.)
5943,Migratory - Offshore - Shipping (NT)
5944,Special Purpose Codes SA3 (NT)
5946,Cotter - Namadgi
5954,Migratory - Offshore - Shipping (ACT)
5955,Special Purpose Codes SA3 (ACT)
5957,Cocos (Keeling) Islands
5958,Jervis Bay
5959,Migratory - Offshore - Shipping (OT)
5960,Special Purpose Codes SA3 (OT)
5981,Illawarra Catchment Reserve
5986,Lord Howe Island
6037,Blue Mountains - South
6052,Migratory - Offshore - Shipping (NSW)
6053,Special Purpose Codes SA3 (NSW)
6119,Migratory - Offshore - Shipping (Vic.)
6120,Special Purpose Codes SA3 (Vic.)
6201,Migratory - Offshore - Shipping (Qld)
