"","sex","SA3","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011"
"698","M",31905,16565,16739,17041,17353,17619,17828,17911,17941,17979,18001,18082,18345,18751,19129,19579,20143,20575,21051,21540,21842,22004
"700","F",40101,5491,5519,5605,5661,5842,5970,5947,5932,5956,6007,6134,6446,6801,7342,7825,8293,8836,9183,9522,9827,10057
"701","M",40101,5831,5956,6142,6304,6589,6809,6780,6738,6770,6866,7077,7411,7732,8271,8748,9186,9713,10034,10392,10698,10863
"703","F",40102,27205,27448,27904,28458,28877,29164,29545,29842,30219,30670,31062,31455,31860,32266,32745,33145,33524,33985,34397,34863,35122
"704","M",40102,27695,27882,28294,28794,29163,29380,29614,29875,30231,30549,30821,31284,31744,32188,32669,33050,33315,33662,34031,34388,34582
"706","F",40103,21375,21300,21235,21270,21368,21520,21683,21949,22187,22281,22414,22523,22618,22755,22904,23010,23031,23065,23172,23206,23140
"707","M",40103,18825,18795,18776,18826,18907,19129,19274,19510,19728,19836,19989,20086,20112,20243,20368,20404,20518,20613,20797,20885,20952
"709","F",40104,23469,23532,23458,23472,23500,23566,23651,23730,23909,24040,24162,24228,24348,24401,24516,24711,24978,25229,25577,25799,25841
"710","M",40104,22412,22434,22350,22318,22302,22357,22424,22481,22567,22648,22712,22800,22818,22831,22901,23035,23263,23499,23853,24094,24295
"712","F",40105,17743,17721,17760,17874,17859,18010,17999,17720,17549,17540,17655,17834,17955,18073,18167,18350,18474,18580,18665,18766,18847
"713","M",40105,15631,15568,15564,15628,15580,15694,15730,15768,15801,15840,15891,16081,16170,16316,16454,16617,16841,17014,17203,17424,17444
"715","F",40106,13728,13623,13515,13323,13350,13376,13385,13379,13399,13398,13387,13466,13572,13635,13706,13842,13953,14052,14108,14131,14155
"716","M",40106,12497,12492,12457,12366,12464,12579,12592,12582,12633,12679,12714,12861,12961,13060,13126,13296,13465,13618,13785,13881,13843
"718","F",40107,19642,19550,19499,19368,19250,19453,19553,19555,19458,19328,19415,19442,19531,19523,19571,19784,19923,20044,20151,20241,20245
"719","M",40107,17195,17081,17001,16859,16717,16881,16895,16993,17035,16996,16990,17049,17137,17135,17234,17427,17589,17777,17962,18090,18129
"721","F",40201,10164,10570,10921,11274,11509,11722,12104,12355,12515,12780,13078,13418,13783,14099,14491,14893,15405,15710,16102,16325,16413
"722","M",40201,10219,10600,10874,11193,11394,11587,11932,12156,12300,12552,12742,13120,13469,13768,14142,14496,14933,15190,15534,15731,15851
"724","F",40202,31925,32122,32142,32295,32516,32642,33030,33622,33891,34319,34496,34763,35069,35339,35830,36380,36948,37837,38777,39823,40907
"725","M",40202,31123,31478,31639,31927,32289,32572,32754,33276,33512,33828,34196,34476,34728,34969,35333,35748,36454,37424,38465,39534,40553
"727","F",40203,26285,26320,26088,25796,25684,25434,25721,26137,26297,26555,26521,26768,27197,27389,27834,28298,29075,29671,30220,30792,31173
"728","M",40203,25633,25657,25409,25125,25004,24762,24863,25170,25332,25482,25831,26208,26631,26890,27197,28087,28975,29709,30375,31101,31750
"730","F",40204,53416,53662,53676,54239,54488,54592,55059,55540,55830,56349,56354,57004,57775,58509,59418,60271,61543,62726,63946,64995,65779
"731","M",40204,54188,54441,54452,55058,55366,55511,55694,55866,55943,56164,56447,56785,57256,57892,58787,59568,60825,62108,63502,64755,65622
"733","F",40205,41211,42243,43295,44543,45586,46314,46197,46530,47024,47229,48058,48156,48234,48163,48068,48106,48100,48161,48187,48140,47949
"734","M",40205,41910,42531,43124,43866,44362,44647,45301,45919,46501,47066,46815,46819,46781,46503,46366,46343,46313,46354,46424,46455,46310
"736","F",40301,16468,16404,16365,16324,16292,16351,16460,16507,16749,16864,16983,16952,17024,17069,17181,17365,17552,17766,17882,17991,18017
"737","M",40301,14472,14414,14365,14291,14234,14302,14372,14433,14727,14875,14969,14970,15112,15152,15316,15485,15723,16053,16222,16373,16507
