"","Year","SA3.Name","variable","value","fit","residuals","ape"
"6580",2011,"Merrylands - Guildford","m0.4",5828,4875.95688769457,-952.043112305427,16.33567454196
"6581",2011,"Parramatta","m0.4",5123,3941.42362114568,-1181.57637885432,23.0641494994011
"6582",2011,"Pennant Hills - Epping","m0.4",1164,983.523090761519,-180.476909238481,15.5048891098351
"6583",2011,"Ryde - Hunters Hill","m0.4",3926,3431.65253383531,-494.347466164686,12.5916318432167
"6584",2011,"Bringelly - Green Valley","m0.4",3019,3844.69721168607,825.697211686067,27.3500235735696
"6585",2011,"Fairfield","m0.4",6018,5441.84359180659,-576.156408193411,9.57388514778018
"6586",2011,"Liverpool","m0.4",4408,4313.81531839044,-94.1846816095604,2.1366760800717
"6587",2011,"Cronulla - Miranda - Caringbah","m0.4",3484,3120.83202780029,-363.167972199706,10.4238797990731
"6588",2011,"Sutherland - Menai - Heathcote","m0.4",3897,3675.31067881175,-221.68932118825,5.68871750547216
"6589",2011,"Ballarat","m0.4",3366,2760.50468132933,-605.495318670674,17.9885715588436
"6590",2011,"Creswick - Daylesford - Ballan","m0.4",837,627.798551290901,-209.201448709099,24.9941993678733
"6591",2011,"Maryborough - Pyrenees","m0.4",683,552.696846771757,-130.303153228243,19.078060501939
"6592",2011,"Bendigo","m0.4",3119,2637.36219283719,-481.637807162812,15.4420585816868
"6593",2011,"Heathcote - Castlemaine - Kyneton","m0.4",1254,1133.50673391056,-120.493266089441,9.60871340426161
"6594",2011,"Loddon - Elmore","m0.4",331,267.450784847749,-63.5492151522507,19.1991586562691
"6595",2011,"Barwon - West","m0.4",605,503.170780979787,-101.829219020213,16.8312758711096
"6596",2011,"Geelong","m0.4",5689,5302.12806568099,-386.871934319005,6.80035040110749
"6597",2011,"Surf Coast - Bellarine Peninsula","m0.4",2054,1637.52011544303,-416.479884556966,20.2765279725884
"6598",2011,"Upper Goulburn Valley","m0.4",1528,1365.66804657205,-162.331953427947,10.6238189416196
"6599",2011,"Wangaratta - Benalla","m0.4",1343,1312.37909195325,-30.620908046747,2.28003782924401
"6600",2011,"Wodonga - Alpine","m0.4",2185,1895.14437952961,-289.855620470393,13.2657034540225
"6601",2011,"Baw Baw","m0.4",1570,1042.72272787367,-527.277272126328,33.5845396258808
"6602",2011,"Gippsland - East","m0.4",1225,1149.7109206773,-75.289079322702,6.14604729164915
"6603",2011,"Gippsland - South West","m0.4",1767,1400.59702029525,-366.402979704749,20.7358788740661
"6604",2011,"Latrobe Valley","m0.4",2483,1859.89931941737,-623.100680582626,25.0946709860099
"6605",2011,"Wellington","m0.4",1293,975.166834126168,-317.833165873832,24.5810646460814
"6606",2011,"Brunswick - Coburg","m0.4",2530,2221.40537915113,-308.594620848865,12.1974158438287
"6607",2011,"Darebin - South","m0.4",1684,1599.2405835218,-84.7594164781963,5.03321950583113
"6608",2011,"Essendon","m0.4",1991,1840.44047476801,-150.559525231994,7.56200528538392
"6609",2011,"Melbourne City","m0.4",1728,1253.42339835339,-474.576601646608,27.4639237064009
"6610",2011,"Port Phillip","m0.4",2423,2231.82055521408,-191.179444785917,7.89019582277825
"6611",2011,"Stonnington - West","m0.4",1196,1176.9984467605,-19.0015532395018,1.58875863206537
"6612",2011,"Yarra","m0.4",2071,1799.98008646661,-271.019913533395,13.0864275004054
"6613",2011,"Boroondara","m0.4",4310,4529.58258885676,219.582588856764,5.09472363936808
"6614",2011,"Manningham - West","m0.4",2183,2204.84158831565,21.841588315654,1.00053084359386
"6615",2011,"Whitehorse - West","m0.4",2790,2927.7040168801,137.704016880098,4.93562784516481
"6616",2011,"Bayside","m0.4",2917,2900.87941403175,-16.1205859682536,0.552642645466357
"6617",2011,"Glen Eira","m0.4",4810,4492.70904951822,-317.290950481777,6.5964854570016
"6618",2011,"Kingston","m0.4",3856,3350.07063716151,-505.929362838492,13.120574762409
"6619",2011,"Stonnington - East","m0.4",1174,1236.63840760762,62.6384076076183,5.33546913182439
