No.,Code,Name,Age,Males1996,Males2001,Females1996,Females2001
,,,75–79,1477,1737.0,1841,2236.0
,,,80–84,843,985.0,1363,1503.0
,,,85+,351,536.0,744,1195.0
23,10801,Great Lakes,0–4,781,734.0,807,657.0
,,,5–9,957,854.0,903,894.0
,,,10–14,911,983.0,852,908.0
,,,15–19,666,807.0,591,707.0
,,,20–24,391,516.0,351,434.0
,,,25–29,422,555.0,489,540.0
,,,30–34,658,619.0,741,661.0
,,,35–39,853,776.0,926,861.0
,,,40–44,824,945.0,816,999.0
,,,45–49,762,897.0,747,866.0
,,,50–54,711,900.0,754,930.0
,,,55–59,763,955.0,842,982.0
,,,60–64,820,1039.0,955,1047.0
,,,65–69,1073,952.0,1067,977.0
,,,70–74,965,995.0,940,1012.0
,,,75–79,583,766.0,644,814.0
,,,80–84,292,396.0,383,549.0
,,,85+,118,192.0,222,375.0
24,10802,Kempsey - Nambucca,0–4,1680,1462.0,1564,1375.0
,,,5–9,1890,1766.0,1819,1643.0
,,,10–14,1884,1879.0,1859,1817.0
,,,15–19,1390,1582.0,1304,1475.0
,,,20–24,973,889.0,1001,837.0
,,,25–29,1071,948.0,1064,998.0
,,,30–34,1338,1044.0,1532,1186.0
,,,35–39,1691,1360.0,1795,1559.0
,,,40–44,1709,1714.0,1631,1788.0
,,,45–49,1627,1698.0,1455,1657.0
,,,50–54,1188,1656.0,1245,1554.0
,,,55–59,1201,1357.0,1158,1405.0
,,,60–64,1110,1334.0,1073,1274.0
,,,65–69,1107,1161.0,1169,1098.0
,,,70–74,993,1053.0,1073,1091.0
,,,75–79,617,850.0,639,945.0
,,,80–84,287,487.0,437,563.0
,,,85+,178,233.0,342,497.0
25,10804,Port Macquarie,0–4,1754,1813.0,1816,1779.0
,,,5–9,2235,2209.0,2060,2126.0
,,,10–14,2162,2498.0,2058,2324.0
,,,15–19,1642,2077.0,1725,1918.0
,,,20–24,1349,1268.0,1331,1127.0
,,,25–29,1254,1261.0,1357,1398.0
,,,30–34,1481,1615.0,1852,1724.0
,,,35–39,1926,1921.0,2175,2234.0
,,,40–44,1948,2246.0,2105,2475.0
,,,45–49,1884,2144.0,1861,2227.0
,,,50–54,1609,2114.0,1689,2184.0
,,,55–59,1357,2032.0,1599,2158.0
,,,60–64,1508,1856.0,1615,2041.0
,,,65–69,1735,1863.0,1804,1983.0
,,,70–74,1680,1835.0,1830,1927.0
,,,75–79,1097,1413.0,1357,1658.0
,,,80–84,636,830.0,920,1134.0
,,,85+,249,479.0,490,983.0
26,10805,Taree - Gloucester,0–4,1850,1548.0,1682,1473.0
,,,5–9,1892,1961.0,1851,1796.0
,,,10–14,2009,2022.0,1864,1996.0
,,,15–19,1679,1702.0,1449,1567.0
,,,20–24,1062,967.0,1000,979.0
,,,25–29,1193,1077.0,1259,1094.0
,,,30–34,1520,1219.0,1503,1378.0
,,,35–39,1745,1510.0,1851,1683.0
,,,40–44,1667,1826.0,1630,1877.0
,,,45–49,1674,1702.0,1740,1702.0
,,,50–54,1392,1690.0,1443,1734.0
,,,55–59,1364,1550.0,1399,1590.0
,,,60–64,1308,1435.0,1405,1418.0
,,,65–69,1422,1307.0,1317,1303.0
,,,70–74,976,1217.0,1013,1196.0
,,,75–79,673,864.0,799,953.0
,,,80–84,384,514.0,565,693.0
,,,85+,260,281.0,561,601.0
27,10901,Albury,0–4,2188,1928.0,2044,1897.0
,,,5–9,2174,2227.0,2033,2057.0
,,,10–14,2152,2174.0,2181,2058.0
,,,15–19,2113,2165.0,2165,2178.0
,,,20–24,1876,1782.0,1909,1828.0
,,,25–29,1803,1647.0,1918,1672.0
,,,30–34,1881,1854.0,1940,1851.0
,,,35–39,2120,1877.0,2201,1983.0
,,,40–44,1955,2099.0,2061,2191.0
,,,45–49,1934,1970.0,1814,2010.0
,,,50–54,1461,1879.0,1407,1767.0
,,,55–59,1202,1448.0,1116,1378.0
,,,60–64,940,1180.0,1046,1172.0
,,,65–69,988,880.0,1047,1038.0
,,,70–74,783,913.0,943,1023.0
,,,75–79,476,668.0,714,870.0
,,,80–84,290,347.0,527,661.0
,,,85+,182,275.0,447,636.0
28,10902,Lower Murray,0–4,636,564.0,608,483.0
,,,5–9,642,595.0,599,522.0
,,,10–14,573,583.0,548,495.0
,,,15–19,525,502.0,467,408.0
,,,20–24,510,386.0,403,312.0
,,,25–29,511,468.0,481,433.0
,,,30–34,567,472.0,532,459.0
,,,35–39,576,567.0,555,516.0
,,,40–44,548,568.0,481,520.0
,,,45–49,541,516.0,464,469.0
,,,50–54,441,527.0,392,458.0
,,,55–59,380,445.0,345,372.0
,,,60–64,341,364.0,297,336.0
,,,65–69,305,313.0,257,265.0
,,,70–74,215,236.0,203,213.0
,,,75–79,119,162.0,172,187.0
,,,80–84,57,89.0,102,141.0
,,,85+,52,53.0,105,121.0
29,10903,Upper Murray exc. Albury,0–4,1594,1434.0,1540,1374.0
,,,5–9,1668,1623.0,1500,1472.0
,,,10–14,1575,1620.0,1523,1477.0
,,,15–19,1290,1337.0,1272,1178.0
,,,20–24,1244,992.0,1005,844.0
,,,25–29,1193,1139.0,1217,1069.0
,,,30–34,1399,1259.0,1382,1261.0
,,,35–39,1588,1423.0,1545,1449.0
,,,40–44,1551,1615.0,1415,1520.0
,,,45–49,1498,1543.0,1326,1389.0
,,,50–54,1266,1481.0,1167,1323.0
,,,55–59,1175,1319.0,1153,1196.0
,,,60–64,1095,1199.0,1062,1191.0
,,,65–69,1108,1123.0,1049,1045.0
,,,70–74,883,1054.0,873,1007.0
,,,75–79,491,744.0,614,804.0
,,,80–84,268,386.0,378,501.0
,,,85+,149,220.0,349,421.0
30,11001,Armidale,0–4,1352,1215.0,1333,1127.0
,,,5–9,1476,1363.0,1427,1277.0
,,,10–14,1554,1497.0,1503,1459.0
,,,15–19,1697,1684.0,1951,1855.0
,,,20–24,1763,1435.0,1839,1440.0
,,,25–29,1173,1019.0,1167,1052.0
,,,30–34,1320,1086.0,1340,1127.0
,,,35–39,1323,1246.0,1428,1268.0
,,,40–44,1324,1271.0,1304,1383.0
,,,45–49,1247,1276.0,1226,1272.0
,,,50–54,981,1208.0,965,1215.0
,,,55–59,828,984.0,786,1003.0
,,,60–64,635,811.0,655,772.0
,,,65–69,561,597.0,627,638.0
,,,70–74,456,518.0,530,605.0
,,,75–79,283,392.0,458,511.0
,,,80–84,190,228.0,307,397.0
,,,85+,129,174.0,302,338.0
31,11002,Inverell - Tenterfield,0–4,1437,1274.0,1363,1203.0
,,,5–9,1541,1491.0,1478,1394.0
,,,10–14,1585,1465.0,1418,1430.0
,,,15–19,1186,1243.0,1223,1113.0
,,,20–24,985,891.0,939,822.0
,,,25–29,1035,995.0,1105,1000.0
,,,30–34,1256,1143.0,1265,1147.0
,,,35–39,1419,1246.0,1431,1264.0
,,,40–44,1365,1426.0,1285,1353.0
,,,45–49,1412,1285.0,1341,1211.0
,,,50–54,1208,1387.0,1165,1349.0
,,,55–59,1159,1225.0,1137,1154.0
,,,60–64,1049,1140.0,916,1117.0
,,,65–69,906,1018.0,881,890.0
,,,70–74,647,816.0,754,845.0
,,,75–79,417,511.0,578,713.0
,,,80–84,255,307.0,417,539.0
,,,85+,177,235.0,393,496.0
32,11003,Moree - Narrabri,0–4,1333,1329.0,1294,1190.0
,,,5–9,1313,1275.0,1211,1231.0
,,,10–14,1099,1170.0,1070,1047.0
,,,15–19,986,986.0,936,881.0
,,,20–24,1078,1057.0,958,963.0
,,,25–29,1255,1179.0,1131,1068.0
,,,30–34,1187,1262.0,1217,1100.0
,,,35–39,1218,1207.0,1115,1160.0
,,,40–44,1034,1201.0,925,1073.0
,,,45–49,1005,1055.0,891,916.0
,,,50–54,909,1005.0,777,872.0
,,,55–59,760,855.0,681,713.0
,,,60–64,593,693.0,525,591.0
,,,65–69,452,513.0,441,477.0
,,,70–74,315,373.0,349,414.0
,,,75–79,181,259.0,268,300.0
,,,80–84,112,118.0,202,210.0
,,,85+,64,75.0,158,189.0
33,11004,Tamworth - Gunnedah,0–4,2886,2619.0,2855,2505.0
,,,5–9,3015,2821.0,2965,2824.0
,,,10–14,3216,3087.0,3137,2915.0
,,,15–19,2745,2871.0,2676,2605.0
,,,20–24,2276,1972.0,2144,1841.0
,,,25–29,2410,2145.0,2413,2124.0
,,,30–34,2523,2271.0,2688,2396.0
,,,35–39,2748,2506.0,2925,2644.0
,,,40–44,2733,2647.0,2641,2852.0
,,,45–49,2536,2636.0,2553,2552.0
,,,50–54,2170,2552.0,2121,2512.0
,,,55–59,1781,2159.0,1842,2159.0
,,,60–64,1577,1863.0,1587,1905.0
,,,65–69,1417,1594.0,1518,1556.0
,,,70–74,1070,1370.0,1396,1470.0
,,,75–79,719,934.0,1037,1283.0
,,,80–84,415,537.0,703,929.0
,,,85+,220,365.0,672,816.0
34,11101,Lake Macquarie - East,0–4,4304,3726.0,4057,3479.0
,,,5–9,4412,4162.0,4243,3946.0
,,,10–14,4646,4147.0,4300,4125.0
,,,15–19,4121,4293.0,3780,4035.0
,,,20–24,2965,3331.0,2717,3152.0
,,,25–29,3005,3371.0,3198,3378.0
,,,30–34,3489,3737.0,3962,3806.0
,,,35–39,4158,4010.0,4444,4248.0
,,,40–44,4188,4363.0,4453,4476.0
,,,45–49,3954,4158.0,4080,4224.0
,,,50–54,3454,3999.0,3297,4250.0
,,,55–59,2636,3491.0,2858,3478.0
,,,60–64,2456,2762.0,2691,2917.0
,,,65–69,2577,2445.0,2746,2610.0
,,,70–74,2140,2272.0,2436,2600.0
,,,75–79,1336,1800.0,1808,2163.0
,,,80–84,749,937.0,1179,1410.0
,,,85+,360,472.0,846,1099.0
35,11102,Lake Macquarie - West,0–4,2401,2322.0,2263,2267.0
,,,5–9,2462,2621.0,2367,2418.0
,,,10–14,2592,2582.0,2400,2419.0
,,,15–19,2303,2436.0,2110,2242.0
,,,20–24,1651,1934.0,1511,1764.0
,,,25–29,1673,1983.0,1783,1986.0
,,,30–34,1946,2160.0,2208,2151.0
,,,35–39,2317,2266.0,2479,2365.0
,,,40–44,2337,2448.0,2482,2485.0
,,,45–49,2206,2359.0,2277,2427.0
