"No.","Code","Area name","Sex","Age group","2001","2006","2011","2016"
5,10201,"Gosford","Females","55–59",4186,5533.13651481599,6067.01273043323,6739.40708904455
5,10201,"Gosford","Females","60–64",3630,4451.50485879363,5801.94577888477,6312.87109883787
5,10201,"Gosford","Females","65–69",3510,3918.15947213068,4758.74856331365,6134.72051070467
5,10201,"Gosford","Females","70–74",3923,3630.61367159446,4082.34507903997,4932.73784045281
5,10201,"Gosford","Females","75–79",3705,3773.56930809411,3569.28356833476,4038.39225704939
5,10201,"Gosford","Females","80–84",2774,3211.82528573239,3321.45333918526,3191.41557359572
5,10201,"Gosford","Females","85+",2061,2730.6802790213,3377.29040322305,3827.86602755222
5,10201,"Gosford","Males","0–4",5212,4916.2825571016,4845.93562632729,4917.39827633301
5,10201,"Gosford","Males","5–9",5931,5677.39084512622,5379.72247499531,5301.12337902558
5,10201,"Gosford","Males","10–14",6025,6161.40047705371,5981.11329790669,5675.97731895371
5,10201,"Gosford","Males","15–19",5429,5846.83064283575,6004.46226969729,5869.64008555654
5,10201,"Gosford","Males","20–24",4172,4692.08314777819,4989.0721137708,5149.63686355224
5,10201,"Gosford","Males","25–29",4499,4341.79057860763,4692.08239895914,4910.01921684406
5,10201,"Gosford","Males","30–34",4941,5049.56879575006,4895.49700187653,5177.68302939857
5,10201,"Gosford","Males","35–39",5692,5654.2507730026,5730.7720723735,5566.17137105068
5,10201,"Gosford","Males","40–44",6020,6060.20913349931,6091.50049356163,6143.62730705159
5,10201,"Gosford","Males","45–49",5503,6117.66705214746,6204.05903276179,6259.22132172606
5,10201,"Gosford","Males","50–54",5103,5604.91746122318,6186.77324718416,6294.77945327698
5,10201,"Gosford","Males","55–59",4227,5383.86371214319,5839.80561634548,6405.62318870656
5,10201,"Gosford","Males","60–64",3358,4417.88005925518,5573.63239803368,6002.60054034952
5,10201,"Gosford","Males","65–69",3095,3530.75858833017,4551.2514434916,5714.19103375247
5,10201,"Gosford","Males","70–74",3220,3097.81888533816,3581.91729851146,4564.94418346515
5,10201,"Gosford","Males","75–79",2838,2894.30379002651,2864.46403384476,3356.33984477073
5,10201,"Gosford","Males","80–84",1784,2191.39990985777,2311.17640152178,2336.74055191546
