"Index","Code","Area","Period-Cohort","F_ASDRs 2001-06","F_ASDRs 2006-11","M_ASDRs 2001-06","M_ASDRs 2006-11","F_ASOMRs 2001-06","F_ASOMRs 2006-11","M_ASOMRs 2001-06","M_ASOMRs 2006-11","F_inward 2001-06","F_inward 2006-11","M_inward 2001-06","M_inward 2006-11","Age-Cohort","ASFRs 2001-06","ASFRs 2006-11"
167,30401,"Centenary","55-59 - 60-64",0.00469494791081026,0.00426761827002648,0.00852222006274419,0.00749149349307599,0.0489511828063956,0.0489511828063956,0.0489511828063956,0.0489511828063956,121.250239796514,121.250239796514,127.693540941789,127.693540941789,NA,NA,NA
167,30401,"Centenary","60-64 - 65-69",0.00727299496160703,0.00644596810936636,0.0135351853723144,0.0116476739984385,0.036968563152664,0.036968563152664,0.036968563152664,0.036968563152664,88.2973897290984,88.2973897290984,100.286280834174,100.286280834174,NA,NA,NA
167,30401,"Centenary","65-69 - 70-74",0.012100529265112,0.0107861447121326,0.0212243919037463,0.0183113419448556,0.0268228531653856,0.0268228531653856,0.0268228531653856,0.0268228531653856,79.6813346508186,79.6813346508186,82.453487388379,82.453487388379,NA,NA,NA
167,30401,"Centenary","70-74 - 75-79",0.0208335833026167,0.0187235428726125,0.0345075703408449,0.0302988745946289,0.0147355954270029,0.0147355954270029,0.0147355954270029,0.0147355954270029,86.2509523620177,86.2509523620177,44.0780344675303,44.0780344675303,NA,NA,NA
167,30401,"Centenary","75-79 - 80-84",0.0374817106103868,0.0342994957926486,0.0570556314746315,0.0516861727413707,0.00658373093408934,0.00658373093408934,0.00658373093408934,0.00658373093408934,46.7757965201336,46.7757965201336,46.7757965201336,46.7757965201336,NA,NA,NA
167,30401,"Centenary","80+ - 85+",0.117734864071762,0.115183690995724,0.138077965889707,0.134487050915137,0.00308904180443259,0.00308904180443259,0.00308904180443259,0.00308904180443259,51.3548844331174,51.3548844331174,51.3548844331174,51.3548844331174,NA,NA,NA
168,30402,"Kenmore - Brookfield - Moggill","Birth - 0-4",0.00191173952852498,0.00157795060362072,0.00240817148394991,0.00195115058116468,0.099920089703105,0.099920089703105,0.101840987076741,0.101840987076741,340.676876941364,340.676876941364,362.811213586552,362.811213586552,NA,NA,NA
168,30402,"Kenmore - Brookfield - Moggill","0-4 - 5-9",0.000143842403499296,0.000119515064524541,0.000221464698388491,0.000177580292157855,0.0660394952470048,0.0660394952470048,0.0667134123796018,0.0667134123796018,763.937826024798,763.937826024798,785.31838111555,785.31838111555,NA,NA,NA
168,30402,"Kenmore - Brookfield - Moggill","5-9 - 10-14",8.37862006287202e-05,7.04322557881296e-05,0.000131479425574852,0.000112598703585133,0.0549959081099844,0.0549959081099844,0.0536102029798153,0.0536102029798153,624.361265672872,624.361265672872,621.778316673216,621.778316673216,NA,NA,NA
168,30402,"Kenmore - Brookfield - Moggill","10-14 - 15-19",0.00016878794809056,0.000145815226507456,0.000320677552646044,0.000269986210045276,0.0700932120876971,0.0700932120876971,0.0605903893414026,0.0605903893414026,622.924655015384,622.924655015384,573.831314066225,573.831314066225,NA,NA,NA
