"Area","Sex","Period-Cohort","ERP(t-5)","Deaths","Net mig","ERP(t)","Prelim mig (model rates x pop-at-risk)","Scaled mig (adjusted for pop size)","Prelim in (consistent with total net mig)","Prelim out (consistent with total net mig)","scaling factor a (unsmoothed)","scaling factor b (smoothed)","In-mig (consistent with cohort net mig)","Out-mig (consistent with cohort net mig)","Adjusted net mig"
"Kalamunda","Females","30-34 - 35-39",1663,5.22372934063194,156.223729340632,1814,2611.09612585031,1048.54076310681,1018.97760203204,1078.96162752167,1.08164614725768,1.08164614725768,1102.17319737982,997.518116490481,104.655080889343
"Kalamunda","Females","35-39 - 40-44",1898,8.31197747632483,98.3119774763248,1988,2133.60285384381,856.793261032363,832.636339265555,881.651037231928,1.06306919035421,1.06306919035421,885.150039042523,829.344924330061,55.8051147124612
"Kalamunda","Females","40-44 - 45-49",2116,14.3408824494023,-80.6591175505977,2021,1736.06205688169,697.152362910696,677.496448402116,717.37854605475,0.999734332241841,0.999734332241841,677.316459439508,717.569181050404,-40.2527216108957
"Kalamunda","Females","45-49 - 50-54",2108,22.5970123026348,-92.4029876973652,1993,1450.43668054314,582.453464197741,566.031436379177,599.351937281251,0.942648776966961,0.95407323092927,540.035441313817,628.203284455933,-102.247967668742
"Kalamunda","Females","50-54 - 55-59",1537,25.2870372919755,-93.7129627080245,1418,968.910552823452,389.086483788067,378.116355780681,400.374883424434,0.919836583579009,0.941852308361233,356.129762521172,425.093063817046,-87.4621488273229
"Kalamunda","Females","55-59 - 60-64",1146,29.4235366221728,-55.5764633778272,1061,693.607747490378,278.532831346267,270.679716572451,286.61378517811,0.963071564537731,0.962758096540269,260.599088699352,297.700726909567,-36.9198908414761
"Kalamunda","Females","60-64 - 65-69",905,37.0703568470706,-31.9296431529294,836,503.703184119653,202.272645509807,196.569654256983,208.141095207134,1.00536614150407,1.00910348014504,198.359122201629,206.263380617038,-9.40566733151681
"Kalamunda","Females","65-69 - 70-74",694,47.5310466281327,7.53104662813268,654,327.76194012069,131.619725298163,127.908763095723,135.438352058798,1.05887273439331,1.10752879998936,141.66263889953,122.288785682232,7.53104662813268
"Kalamunda","Females","70-74 - 75-79",587,68.6804997891736,33.6804997891736,552,207.029655520481,83.1371280574716,80.7931120739872,85.5491499735136,1.25834752407071,1.29394622828261,104.54194263935,66.1149189229126,33.6804997891736
"Kalamunda","Females","75-79 - 80-84",467,93.4107829236042,36.4107829236042,410,105.085592446699,42.1993377435349,41.0095453550497,43.4236490693904,1.56461842638383,1.57222764902806,48.4843090985991,27.6191867610486,36.4107829236042
"Kalamunda","Females","80+ - 85+",592,285.015465294556,34.0154652945563,341,65.3120628667535,26.2274374200162,25.4879659714011,26.9883628372974,1.89371699662966,1.72916771150674,29.6648436475239,15.6077184750232,34.0154652945563
"Kalamunda","Males","Birth - 0-4",1482.65743619249,11.4008722667104,14.7434360742206,1486,1037.47233566013,416.618914855547,404.872521658416,428.70610113139,1.00588132787708,1.00588132787708,407.253709706708,426.199482235324,-18.9457725286154
"Kalamunda","Males","0-4 - 5-9",1572,2.32498253817438,122.324982538174,1692,1856.61882432346,745.564477531682,724.543604031646,767.195220638248,1.12030462376605,1.12030462376605,811.709549716772,684.809474461705,126.900075255068
"Kalamunda","Males","5-9 - 10-14",1878,1.56529836200695,188.565298362007,2065,1677.74589993329,673.734279178439,654.738627585521,693.281043481432,1.18453317042933,1.18453317042933,775.559622336423,585.27786370909,190.281758627332
"Kalamunda","Males","10-14 - 15-19",2222,4.31473579711688,-59.6852642028831,2158,1775.90323180501,713.151427649669,693.044426312073,733.841784811857,0.993729177356911,0.993729177356911,688.698467630889,738.472615611133,-49.7741479802437
"Kalamunda","Males","15-19 - 20-24",2215,9.3006929571774,-613.699307042823,1592,2796.66774172104,1123.06096241686,1091.39673600152,1155.6438494818,0.777686799747101,0.777686799747101,848.764834875456,1486.00162669292,-637.236791817466
"Kalamunda","Males","20-24 - 25-29",1720,8.26133254361624,-299.738667456384,1412,3209.53902737136,1288.85814185992,1252.51933445157,1326.25123153564,0.942185320908745,0.942185320908745,1180.10533107466,1407.63308672275,-227.527755648091
"Kalamunda","Males","25-29 - 30-34",1441,8.2973606131998,51.2973606131998,1484,2897.68994716891,1163.62856134298,1130.82054872145,1197.38841879381,1.05355460276045,1.05355460276045,1191.38119400158,1136.52241246586,54.858781535728
"Kalamunda","Males","30-34 - 35-39",1567,10.0864324380538,53.0864324380538,1610,2526.10500710964,1014.4107854245,985.809904561615,1043.8414514035,1.08346148757689,1.08346148757689,1068.08706566436,963.43198477502,104.655080889343
"Kalamunda","Males","35-39 - 40-44",1783,14.2982519485975,13.2982519485975,1782,2123.9133005042,852.902216366372,828.855000949814,877.647103352297,1.06322705958409,1.06322705958409,881.261065481443,825.455950768981,55.8051147124612
"Kalamunda","Males","40-44 - 45-49",1872,21.1536743288063,0.153674328806293,1851,1680.11903458911,674.687261490479,655.664740966391,694.261674261443,0.998774197005007,0.998774197005007,654.861025163204,695.113746774099,-40.2527216108957
"Kalamunda","Males","45-49 - 50-54",2133,36.9070523598806,-112.092947640119,1984,1520.46308691794,610.574045761527,593.359170100002,628.288369243151,0.946453149143201,0.957989421586397,568.431808157085,655.840612731118,-102.247967668742
"Kalamunda","Males","50-54 - 55-59",1647,47.7886650533786,-81.2113349466214,1518,1060.31953443753,425.793689772385,413.788617696726,438.147059866351,0.928740918610981,0.9473624125754,392.00778315741,462.491496443531,-87.4621488273229
"Kalamunda","Males","55-59 - 60-64",1187,57.7366816948749,-18.2633183051251,1111,737.785012943288,296.273144761531,287.919849392486,304.868790714149,0.966893169972018,0.967625849152947,278.598688756393,315.068878101003,-36.9198908414761
"Kalamunda","Males","60-64 - 65-69",948,75.1183084898958,13.1183084898958,886,547.657666905592,219.923495842759,213.722846368281,226.304042106741,1.00724345887584,1.00535955422188,214.868305551846,225.097619211362,-9.40566733151681
"Kalamunda","Males","65-69 - 70-74",721,87.4338318302462,3.43383183024621,637,342.396862611495,137.49668733131,133.620026682677,141.485819876242,1.04194203381778,1.05182796464596,140.545280701579,134.514221557007,3.43383183024621
"Kalamunda","Males","70-74 - 75-79",555,105.036577018434,11.0365770184345,461,189.584969375476,76.1318461218302,73.9853410845336,78.3406267911318,1.10629840124426,1.13588997033161,84.0392068894851,68.9684994474077,11.0365770184345
"Kalamunda","Males","75-79 - 80-84",333,96.3740557650982,11.3740557650982,248,69.6134525168244,27.9547512256832,27.1665788986089,28.7657904591679,1.2594294759328,1.19603860453634,48.4843090985991,24.050887947985,11.3740557650982
"Kalamunda","Males","80+ - 85+",316,169.378911620384,4.37891162038395,151,31.5050049847369,12.6514997442394,12.2947960871797,13.0185522918426,1.22238793643197,1.24090870618238,29.6648436475239,10.4911442936796,4.37891162038395
"Serpentine - Jarrahdale","Females","Birth - 0-4",368.166473878592,2.20046300934349,0.0339891307515505,366,252.918471472565,99.6497303217141,110.910352391148,89.5323884480138,0.935180534475374,0.935180534475374,103.721202628006,95.738079597904,7.98312303010168
"Serpentine - Jarrahdale","Females","0-4 - 5-9",393,0.396434537254595,96.3964345372546,489,503.445824841957,198.357361504677,220.772146526002,178.218328182369,1.16590660077295,1.16590660077295,257.399702901477,152.858151814406,104.541551087071
"Serpentine - Jarrahdale","Females","5-9 - 10-14",447,0.248454793090872,66.2484547930909,513,418.433282601663,164.862469419946,183.492263555647,148.124140476365,1.06817340226561,1.06817340226561,196.001555451653,138.670500652976,57.3310547986772
"Serpentine - Jarrahdale","Females","10-14 - 15-19",480,0.468855698343461,-34.5311443016565,445,430.356620105455,169.560257445747,188.720911176853,152.344966574082,0.847376498157427,0.847376498157427,159.91766484212,179.78427169664,-19.8666068545195
"Serpentine - Jarrahdale","Females","15-19 - 20-24",355,0.560573170227317,-74.4394268297727,280,568.543270081119,224.00571698044,249.318818302097,201.262630641544,0.76675349639028,0.76675349639028,191.166075649025,262.486746508556,-71.3206708595301
"Serpentine - Jarrahdale","Females","20-24 - 25-29",246,0.517519894086896,55.5175198940869,301,616.899224267609,243.05793474088,270.523975394055,218.380494943,0.980523578011043,0.980523578011043,265.25513629115,222.718249555995,42.5368867351554
"Serpentine - Jarrahdale","Females","25-29 - 30-34",297,0.853631678927525,158.853631678928,455,746.470835581479,294.109074064951,327.34399722575,264.248460886512,1.17148707108721,1.17148707108721,383.479260547974,225.566689900618,157.912570647357
"Serpentine - Jarrahdale","Females","30-34 - 35-39",431,1.44828158883209,103.448281588832,533,723.92771507613,285.227097727325,317.458339508909,256.268263116993,1.09044660861774,1.09044660861774,346.171369694908,235.012206092183,111.159163602726
"Serpentine - Jarrahdale","Females","35-39 - 40-44",465,2.06836907349617,39.0683690734962,502,530.929994767619,209.186108433529,232.824563867785,187.947642785722,1.03049692453455,1.03049692453455,239.92499702185,182.385447555425,57.5395494664252
"Serpentine - Jarrahdale","Females","40-44 - 45-49",449,3.1163774044024,4.1163774044024,450,377.258832278618,148.639759995256,165.436354992495,133.548507233791,0.950669302911704,0.950669302911704,157.275264276968,140.478404871978,16.7968594049905
"Serpentine - Jarrahdale","Females","45-49 - 50-54",379,4.36401700650738,38.3640170065074,413,280.113594486752,110.364592935944,122.836016259282,99.1593813023565,1.06652920647491,1.02302568190127,125.664399295687,96.9275581802317,38.0342975294189
"Serpentine - Jarrahdale","Females","50-54 - 55-59",293,5.16865330773375,23.1686533077337,311,198.04466122009,78.0294810708512,86.8469710306954,70.1072224388156,1.0518785363172,1.00090463924092,86.9255362086446,70.0438580162688,24.7029230055558
"Serpentine - Jarrahdale","Females","55-59 - 60-64",246,6.38598733213448,-6.61401266786552,233,150.538337584001,59.3120172519788,66.0143957561053,53.290124831199,0.884306174930647,0.949798687244537,62.7003864283902,56.1067577233646,-1.88513696624868
"Serpentine - Jarrahdale","Females","60-64 - 65-69",145,6.15355148121964,5.15355148121964,144,83.6129926539804,32.9434703635887,36.6661494739317,29.5987513051578,0.913211350485767,0.835005691378439,30.6164434916656,35.4473647434615,1.0722230981076
