No.,Code,Area name,Sex,Age group,2001,2006,2011
7,10301,Bathurst,Males,75–79,424,550.33151695102,560.613511885693
7,10301,Bathurst,Males,80–84,233,352.443372721038,456.407609187073
7,10301,Bathurst,Males,85,169,218.65448639726,307.567368942821
8,10302,Lachlan Valley,Females,0–4,2105,1792.74312496628,1656.85777027894
8,10302,Lachlan Valley,Females,5–9,2214,2116.21387170302,1840.35296664554
8,10302,Lachlan Valley,Females,10–14,2204,2124.43504797023,2025.59864678794
8,10302,Lachlan Valley,Females,15–19,1855,1782.13200776374,1729.94102828633
8,10302,Lachlan Valley,Females,20–24,1276,1310.06741752256,1281.41728714565
8,10302,Lachlan Valley,Females,25–29,1589,1431.48566929525,1445.39987531464
8,10302,Lachlan Valley,Females,30–34,1789,1676.84912885693,1530.78094480229
8,10302,Lachlan Valley,Females,35–39,2032,1938.22524414526,1838.74514067588
8,10302,Lachlan Valley,Females,40–44,2054,2000.71222213647,1925.0639850615
8,10302,Lachlan Valley,Females,45–49,1889,1991.06432030142,1944.25872324465
8,10302,Lachlan Valley,Females,50–54,1823,1868.68910502268,1960.59054036982
8,10302,Lachlan Valley,Females,55–59,1647,1871.19913299939,1909.42353677944
8,10302,Lachlan Valley,Females,60–64,1590,1679.16425685578,1930.71782116447
8,10302,Lachlan Valley,Females,65–69,1336,1549.44013451512,1665.33501930979
8,10302,Lachlan Valley,Females,70–74,1255,1282.74064718234,1477.86211077301
8,10302,Lachlan Valley,Females,75–79,1091,1193.72071296793,1214.54639053874
8,10302,Lachlan Valley,Females,80–84,790,987.28573972177,1079.65884474448
8,10302,Lachlan Valley,Females,85,724,894.43056790922,1107.11476959855
8,10302,Lachlan Valley,Males,0–4,2182,1890.07425760721,1747.37023042215
8,10302,Lachlan Valley,Males,5–9,2397,2214.29211554639,1948.20076322827
8,10302,Lachlan Valley,Males,10–14,2422,2317.70309119902,2156.01504712571
8,10302,Lachlan Valley,Males,15–19,2034,1928.25645989348,1860.55841904462
8,10302,Lachlan Valley,Males,20–24,1431,1454.75698342708,1405.80265177129
8,10302,Lachlan Valley,Males,25–29,1619,1490.44178620235,1498.03381720125
8,10302,Lachlan Valley,Males,30–34,1775,1663.19604437763,1529.53230056488
8,10302,Lachlan Valley,Males,35–39,2075,1918.02443038088,1814.05105263402
8,10302,Lachlan Valley,Males,40–44,2155,2045.268731734,1926.75446114984
8,10302,Lachlan Valley,Males,45–49,2008,2078.4782088861,1990.25830686118
8,10302,Lachlan Valley,Males,50–54,2045,1986.84290766797,2053.0636106757
8,10302,Lachlan Valley,Males,55–59,1669,2026.44753476887,1978.75205951995
8,10302,Lachlan Valley,Males,60–64,1615,1701.91668102334,2047.67200838505
8,10302,Lachlan Valley,Males,65–69,1359,1547.57781038834,1670.4253029769
8,10302,Lachlan Valley,Males,70–74,1261,1252.15965664282,1436.96825436133
8,10302,Lachlan Valley,Males,75–79,866,1075.22916572693,1083.73040944385
8,10302,Lachlan Valley,Males,80–84,481,699.695331030813,870.12311775093
8,10302,Lachlan Valley,Males,85,330,427.22339259448,590.416825332063
9,10303,Lithgow - Mudgee,Females,0–4,1421,1297.35953685145,1240.33740649463
9,10303,Lithgow - Mudgee,Females,5–9,1633,1461.51613095774,1332.72662315229
9,10303,Lithgow - Mudgee,Females,10–14,1659,1578.99133057253,1445.88446113312
9,10303,Lithgow - Mudgee,Females,15–19,1374,1395.53504325578,1347.34273488158
9,10303,Lithgow - Mudgee,Females,20–24,994,1062.68185976902,1076.26975282074
9,10303,Lithgow - Mudgee,Females,25–29,1232,1174.76867372827,1213.74856898077
9,10303,Lithgow - Mudgee,Females,30–34,1407,1402.04097484227,1321.11677521896
9,10303,Lithgow - Mudgee,Females,35–39,1623,1573.44358222888,1549.4392078128
9,10303,Lithgow - Mudgee,Females,40–44,1543,1656.18792295533,1618.26002137997
9,10303,Lithgow - Mudgee,Females,45–49,1438,1564.01002356919,1643.11161422332
9,10303,Lithgow - Mudgee,Females,50–54,1473,1473.80614123701,1586.52235836464
9,10303,Lithgow - Mudgee,Females,55–59,1321,1478.70480606664,1487.16983733373
9,10303,Lithgow - Mudgee,Females,60–64,1067,1244.9127327083,1426.17112975529
9,10303,Lithgow - Mudgee,Females,65–69,909,980.509538530694,1149.88554127253
9,10303,Lithgow - Mudgee,Females,70–74,806,800.868062607082,875.508555483636
9,10303,Lithgow - Mudgee,Females,75–79,678,708.132948324007,705.553298089513
9,10303,Lithgow - Mudgee,Females,80–84,520,542.20265702262,572.627969500588
9,10303,Lithgow - Mudgee,Females,85,403,496.694604533384,566.275518486588
9,10303,Lithgow - Mudgee,Males,0–4,1560,1386.27451229579,1325.84621875435
9,10303,Lithgow - Mudgee,Males,5–9,1751,1602.9107413349,1441.08011039851
9,10303,Lithgow - Mudgee,Males,10–14,1712,1676.05500706801,1555.79296216945
9,10303,Lithgow - Mudgee,Males,15–19,1509,1457.91193068586,1436.01255706833
9,10303,Lithgow - Mudgee,Males,20–24,1080,1162.16926329745,1141.60969593738
9,10303,Lithgow - Mudgee,Males,25–29,1217,1172.33943127515,1215.7783826549
9,10303,Lithgow - Mudgee,Males,30–34,1469,1377.90723265712,1302.76398918574
9,10303,Lithgow - Mudgee,Males,35–39,1630,1590.4029229594,1516.49109995917
9,10303,Lithgow - Mudgee,Males,40–44,1695,1676.51628643359,1640.12233807513
9,10303,Lithgow - Mudgee,Males,45–49,1539,1675.13510175882,1657.91872536073
9,10303,Lithgow - Mudgee,Males,50–54,1654,1571.62799145825,1689.51013842127
9,10303,Lithgow - Mudgee,Males,55–59,1472,1639.9203061642,1580.4579471526
9,10303,Lithgow - Mudgee,Males,60–64,1182,1383.98071893035,1571.78938309896
9,10303,Lithgow - Mudgee,Males,65–69,953,1054.59351854075,1248.18688939189
9,10303,Lithgow - Mudgee,Males,70–74,797,799.786889117181,904.349208703766
9,10303,Lithgow - Mudgee,Males,75–79,540,629.350374972334,642.119272389559
9,10303,Lithgow - Mudgee,Males,80–84,293,377.57898087815,450.027541692428
9,10303,Lithgow - Mudgee,Males,85,184,220.796216652162,282.944755519335
10,10304,Orange,Females,0–4,1896,1732.44061764912,1655.23276278607
10,10304,Orange,Females,5–9,1987,1972.13934756036,1811.375525158
10,10304,Orange,Females,10–14,2009,2035.87328936171,2012.16670108565
10,10304,Orange,Females,15–19,1938,1915.56478972181,1941.48036818108
10,10304,Orange,Females,20–24,1406,1523.98783305726,1532.36545449077
10,10304,Orange,Females,25–29,1670,1487.27106240019,1563.77449991003
10,10304,Orange,Females,30–34,1810,1795.88683499106,1661.21042664099
10,10304,Orange,Females,35–39,1849,1858.9399123179,1841.68909807605
10,10304,Orange,Females,40–44,1944,1910.91178152465,1921.35520304926
10,10304,Orange,Females,45–49,1728,1908.9666411968,1891.66876288315
10,10304,Orange,Females,50–54,1727,1750.51279204455,1916.09063754321
10,10304,Orange,Females,55–59,1336,1719.73333019741,1752.53448002017
10,10304,Orange,Females,60–64,1148,1341.68656430582,1714.87659911475
10,10304,Orange,Females,65–69,1017,1127.85345316947,1321.81902627039
10,10304,Orange,Females,70–74,907,967.825216656999,1081.20379182687
10,10304,Orange,Females,75–79,815,846.60902541209,899.164842315765
10,10304,Orange,Females,80–84,568,714.444881151682,750.138011787387
10,10304,Orange,Females,85,543,642.836791524512,787.392449493494
10,10304,Orange,Males,0–4,2061,1842.61306800121,1761.38449948027
10,10304,Orange,Males,5–9,2080,2087.46535768007,1892.24628800305
10,10304,Orange,Males,10–14,2116,2138.84245356145,2128.87674116586
10,10304,Orange,Males,15–19,1997,1993.3037595218,2017.28981973152
10,10304,Orange,Males,20–24,1573,1582.56539796526,1594.60021974908
10,10304,Orange,Males,25–29,1659,1528.22297585463,1559.39262942637
10,10304,Orange,Males,30–34,1749,1724.90990462283,1615.70188210328
10,10304,Orange,Males,35–39,1809,1787.55632255664,1759.72235159055
10,10304,Orange,Males,40–44,1901,1850.18964887164,1835.21605021439
10,10304,Orange,Males,45–49,1815,1878.01910757234,1846.4870975386
10,10304,Orange,Males,50–54,1740,1790.75113239703,1864.35311939643
